,utterance,category
33617,홈페이지 오류 아닌가요 ,기타
33618,에 구구죄 송합니다 즉시 수정할게요 알려주셔서 감사합니다 ,기타
33619,충북에 증평이 안 적혀 있는 이유는 왜인가요 ,기타
33620,대리점 변동으로 인해 빠져 있네요 ,기타
33621,상품보기에는 2번 이맥콜인데 구매하기 억들어가면 2번이코카콜라로 나오네요   무엇이 맞는 건가요 ,기타
33622,2번 상품은 맥콜 160ML 30 캔 제품이십니다 ,기타
33623,상세정보란 과 주문옵션 선택에서 다른 품목은 뭔가요 ,기타
33624,아우제가 실수했네요   지적해주셔서 감사드립니다 ,기타
33625,자동구매 확정되었던데  괜찮은 건지요 ,기타
33626,문자를 못 받으시는 분들이 계시는 데 시스템적으로 확인이 안 되어 저희도 어려움이 많습니다 ,기타
33627,원산지 보려고 자세히 보기 누르면 왜염지 이미지만 나오나요 ,기타
33628,빠른 수정 처리하겠습니다 ,기타
33629,우째 이런 샘법이 있나요 ,기타
33630,잘못 올라간 거 같아 수정 또는 삭제하도록 하겠습니다 ,기타
33631,상품 페이지에 유통기한 지난 것도 있는데 지난 걸 보내진 않으시겠죠 ,기타
33632,유통기한 수정되었습니다 ,기타
33633,저만 착각한 게 아닌 듯한데 문구를 수정하셔야 되는 거 아닌가요 ,기타
33634,상품 페이지 사은품 부분 표기도와 드리고 있어요   저희 상품 3세트마다 떡 증정도와 드리고 있어요 ,기타
33635,선물 햇는데 배송지 입력하는 창이 안 뜬다는 뎅그냥 알려드리면 안 되나요 ,기타
33636,토요일      일요일     공유일은 휴뮤일이라 답변이 늣어죄송합니다   현재 고객님의 상품이 배송 완료되었다고 나오네요 ,기타
33637,아니 상품 설명이랑 상품 목록 기랑일치하가 않아요쟈스 민부터 뒤죽박죽엔 이미지 설명엔 20개 정도 올라가 있는데 상품 목록엔 30개가 넘게 있고 그렇다고 품절 표시되 서 상품 내린 것도 아니고 대체 뭐죠 ,기타
33638,최대한 빠르게 수정토록 하겠습니다 ,기타
33639,제목은 3병인데 상세는 다 2병인데 뭐가 맞는 건가요 ,기타
33640,문의하 신상품은 2병  1병으로 옵션을 선택해주시는 상품입니다 ,기타
33641,라면 봉지 윗쪽에 NEW라고 되있는데 안보이시나요 ,기타
33642,이미지가 전에 이미지이네요 수정해야 할 꺼같네요 ,기타
33643,왜 일부만 배송 시작할 걸로 확인되는지요 ,기타
33644,고객님의 주문 건 모두 출고된 것으로 확인됩니다 ,기타
33645,토종 순대 명칭이 뭘로 되어 있죠 ,기타
33646,다시 올렸습니다 ,기타
33647,추가 상품 오션 선택만 되고 전 뭉티기 주문하고 싶은데 장바구니에 안 담겨지네요 ,기타
33648,뭉티기를 선택하시고   수령하고 싶으신 날을 선택해주시면 됩니다 ,기타
33649,제목은 900G  내용은 550G 뭐가 진실인가요 ,기타
33650,표기사항보다 용량이 더 많습니다 ,기타
33651,상세 제품 내용 하나도 안 뜨고 이미지 깨진 표시 3개만 뜹니다 저만 그런지 ,기타
33652,저희는 정상적으로 상품 제품 내용 뜹니다 ,기타
33653,배추 가격이 10KG 이나 20KG 동일한 듯 주문 가능한가요 ,기타
33654,수정시 오류가 발생하여 가격이 잘못 적혀져 수정하였습니다 ,기타
33655,저는 2번 고기를 주문했는데 왜 냉면으로 돼 있는 거죠 ,기타
33656,판매 페이지 리뉴얼로 인해 오류가 난 것 같아요 ,기타
33657,5회 주문 시 2개 무료는 어쩧게 주문해야 하는 질 모르겟어요 4개밖에 주문이 안 되는데요 ,기타
33658,현재 구매 수량 수정 중이오니 잠시만 기다려주시기 바랍니다 ,기타
33659,상세 페이지는 2020년 적어놓고 왜 2019년 짜리 가옵니까 ,기타
33660,본사에서 입고되는 상품 유통기한 일자로 변경이 수시로 변동되고 있습니다 ,기타
33661,구매하려는 데 자꾸 구매 수량 수가 넘었다며 구매가 안 되네요 ,기타
33662,네 주문량 증가로 인해 일시적으로 한 조치입니다   현재는 5개 주문 가능합니다 ,기타
33663,1번 옵션 왜 구매가 안 되나요 ,기타
33664,적립금 사용난발로 인한 일반 우편 건 낱 봉짜리가 하루에 600봉이 넘게 나가고 있으며 고객 명단을 정리해 볼 때 150명 이상 되고 있어 잠정적으로 15개 이상 구매만 가능하게 조취를 취한 점 양해 바랍니다 ,기타
33665,2개 구매해서 추가 500그램 확인해 달랬더니 뭔싱싱한 제품을 보내준다는 답변을 합니까 내용도 안 읽어보는 겁니까 ,기타
33666,같은 발송 지출 고시합배송건으로 추가 증정되요 ,기타
33667,하나만 선결제하구나 머진 착불루 변경하는 란도 없어서 왜 이런 거죠 ,기타
33668,저희 oooo의 상품은 식품이고 그 식품 중에서도 바로바로 만들어 보내드리는 상품이 많습니다 ,기타
33669,제품 문의 트랜스포머 밸런스 5000샀는데 여기 페이지 광고에는 3스쿱 60그램 당 단백질 30그램이라고 적혀 있는데 제품 통성 푼표에는 4스쿱 50그램에 단백질 30그램이라고 써 있네요 뭐가 맞는 건가요 ,기타
33670,4 스쿱 60그램당 30G 이 맞습니다 ,기타
