,utterance,category
43469,두 개 구매하면 사은품 보내주시는 거 아닌가요 ,행사
43470,문의주 신상품은 옵션 수량 2개 구매 시 사은품 증정되는 상품으로 추가 구성은 해당되지 않는 점이용에 참고 부탁드립니다 ,행사
43471,파채소스는 갈비 본살만 주는 건가요 ,행사
43472,갈비 본살 주문시에만 증정됩니다 ,행사
43473,저도 7일에 주문했거든요 ,행사
43474,배송 지연 및 마스크 누락에 대해 정말 죄송 드립니다   오늘 일자라도 마스크 확인하여 다시 발송도와 드리겠습니다 ,행사
43475,문의사은품은 뭔가요 ,행사
43476,사은품 증정이 현재 만료된 상태입니다 ,행사
43477,현재 토끼머그컵 증정 행사하는 제품이 옵션 8번까지 인가요 ,행사
43478,네 맞습니다   옵션에   토끼 머그컵 이라고 쓰여 있는 상품들은 전부 토끼 머그컵이 증정됩니다 ,행사
43479,3번 상품 화면에는 모카라이트가 사은품 이래 고 주문 시 선택란에는 아이스 블랙 이사은품이라고 적혀 있는데 뭐가 맞는 건가요 ,행사
43480,본사에서 입고시마다 달라지는 관계로 달라질 수 있습니다   현재는 아이스 블랙으로 알고 있습니다 ,행사
43481,지금 구매하려고 들어왔더니 4개   2개 증정 이벤트가 사라졌네요 혹시 지금 구매하면 2병 더 받을 수 없나요 ,행사
43482,오늘 12시까지는 1병 제품을 4개 구매하시면 2병을 추가로 증정해서 보내드립니다 ,행사
43483,지금 구매하면 홀더 제공되나요 ,행사
43484,현재 팩홀 더 사은 증정은 진행되고 있지 않습니다 추가 구성에서 별도 구매 가능하세요 ,행사
43485,8개 주문했는데 10개 오는 거 맞죠 ,행사
43486,총 10세트 출고되세요 안전하게 배송해 드릴게요 ,행사
43487,두 개 이상이면 만두오는 거이닌가요 ,행사
43488,누락 분 바로 재발송해드리겠습니다 ,행사
43489,3개 구매 시 3  1으로 받는 게 맞나요 ,행사
43490,문의하신 비타민C 제품은 현재 3  1 행 사 진행 중으로 제품 수량 3개로 선택하시면 출고 시 증정품 1개 동봉되어 배송됩니다 ,행사
43491,1000명 안에 들 때 삿는데 왜 상자 안주시나요 ,행사
43492,초콜릿 구매하신 분들께 증정되세요 ,행사
43493,방금 주문했는데요배송요청란에 9월 21일에 발송부탁드린다고 기재해놨습니다 혹시 1  1보자기도 2개주시는 건가요 ,행사
43494,운송장은 미리 입력되며 21일 출고도와 드리겠습니다   1  1 상품 주문하셨다면 박스 수량만큼 부직포가 방도 보내드립니다 ,행사
43495,혹시 9개 주문하면 몇 개 보내주나요 ,행사
43496,현재 누룽 지 상품 3  1    6  3 행 사 진행 중으로 9개 주문 시 13개 발송됩니다 ,행사
43497,6개 구매 시 1개 서비스 행사 아직 하고 있나요 ,행사
43498,네 현재 행사 진행중입니다   7박스로 잘 포장해서 당일 발송하겠습니다 ,행사
43499,3만원 이상 냉동과일 1개 서비스인 줄 알았는데 쬐끄만한 동결건조망고스틴은 뭔가요 ,행사
43500,현재 동결건조 과일 1팩으로 제공되고 있어요 ,행사
43501,밀푀유나 베두개 받았는데 왜 사은품은 안주시나요 ,행사
43502,사은품이 모두 소진되어 지급이 어려운 점 양해 부탁드려요 ,행사
43503,키조개 2개 쭈꾸미 2개시켜도 1개 더 주시는 거죠 ,행사
43504,당일 오후 1시 전 구매해주시면 당일 출고 가능해요 ,행사
43505,텀블러사은품 보고 결제했는데 지금은 사은품이 담요로 변경되었네요 ,행사
43506,해당 건취소 건으로 확인됩니다 ,행사
43507,8개 주문했는데 핸드폰 거치 대주나요 ,행사
43508,거치대 넣어드리겠습니다 ,행사
43509,구매하기 전에 물어봅니다 혹시 한 통 구매하면 쉐이크통주나요 ,행사
43510,네 한 개 구매 시 쉐이크통 1개 사은품으로 드리고 여러 개 구매 시 추가 갯수만큼 샘플로드려요 ,행사
43511,2박스 이상 구매 시 사은품이요배 이비캡슐 1박 스키즈 1박스씩 시키면 사은품은 없는 건가요 ,행사
43512,2 박스 이상 구매 시 추가 증정은 해당 제품 동일 제품으로 동일주소지로 합배송 경우에 발송드리고 있습니다 ,행사
43513,이번엔 무료 배송 이벤트에 포함되지 않는 건가요 ,행사
43514,확인후 연락드릴게요,행사
43515,1KG 꿀대추차 문의1KG 꿀대추 차랑1KG 꿀 생강차 따로 한 개씩 시켜도 종이컵이 오나 여   그리고 제조일자 좀 부탁드려여,행사
43516,무료 상품으로 각각 구매하셔도 사은품이 발송됩니다 ,행사
43517,2번 닭가슴살 스파이시 1  1이라는 건가요 ,행사
43518,2번은 1팩 구성입니다   옵션 눌러보시면 1팩1  1팩1  1  1 팩 확인 가능하십니다,행사
43519,10팩당 2팩 증정이면 20팩엔 4팩 증정 맞나요 ,행사
43520,주문하 신상품 러브잇슬라이스 닭가슴살로 확인이 되십니다   추가 증정으로 나가는 상품은 랜덤으로 발송되는 부분이라 고객님께서 원하시는 맛이 안 갈 수도 있는 점 양해 부탁드리며요청주신대로 주문해주신 상품 최근 제조된 신선한 상품으로 더욱 꼼꼼하게 포장해서 품수령받으실 수 있게 포장팀에 내용 전달하겠습니다 ,행사
43521,혼합오메기떡은 6종류 중에 랜덤으로 4가지 맛주나요 ,행사
43522,주로 팥렌틸콩 녹차씨앗 이렇게 주로 배송되요 ,행사
43523,1  1이면 총 60포오는 게 맞는 거죠 ,행사
43524,1  1 제품 구매 시 2박스로 총 60포 발송되는 것이 맞습니다 ,행사
43525,1개 더주시는 거 맞죠 ,행사
43526,네 10키로 주문 시 증정 1키로 같이 금일 출고 예정입니다 ,행사
43527,3개시켰는데 왜 3  1 적용 안 되요 ,행사
43528,프로바이오틱스 골드 유산균은 단품 가격 12200원으로 판매가 진행하던 상품을 미친 가격 7800원 행사 일대는 3  1 상품 선물셋트는 판매를 진행하지 않아 단품으로만 판매를 진행하여 구매 수량 3개만 발송되는 상품이였습니다 ,행사
43529,1  1 상품 맞나요 ,행사
43530,네 맞습니다 ,행사
43531,같은 날 옵션2 구매하지 않고 다른 날 한 개씩 구매해도 다시 팩 주시나요 ,행사
43532,같은 날 구매해 주셔야 적용 가능해요 ,행사
43533,주문갯수만큼 사은품 주시는 거 아닌가요 ,행사
43534,현재 2KG 구매해주시면 사은품으로 앙꼬가래떡을 드리고 있어요,행사
43535,1  1 행사 상품 구매한 걸로 알았는데 아닌가요 ,행사
43536,네 주문 내역에 대해 문의주셨는데요   주문하신 프랑크 소시지 오리지날의 경우 1  1 행사에 해당이 되지 않은 걸로 확인되세요 ,행사
43537,3개 주문했는데 그럼 1개 더 오는 건가요 ,행사
43538,네 3  1 상품이면 총 4개 배송됩니다 ,행사
43539,6번이 1  1특가면 만약 수량 2로 주문하면 총 4봉오는 거 맞죠 ,행사
43540,네 앞에 1  1이라고 써 있는 옵션이면 X2 생각하시면 됩니다 ,행사
43541,1  1 싱품을 30개 시키면 총 60개가 오는 건가요 ,행사
43542,네 1  1 상품이 시라면 주문하신 갯수의 두 배로 받으시는 거세요 ,행사
