,utterance,category
15886,1번이 세일 중이어서 3번 말고 1번으로 2개 구매하려고 하는데요 이 두 개가 한 번에 들어가는 쇼핑백으로 보내주실 수 있나요 ,포장
15887,1번 1P 짜리 제품은 1P 전용 페이퍼백이 동봉되어 배송되는 제품이랍니다 ,포장
15888,포장용기가 뭔가요 ,포장
15889,네  본 제품에 사용된 포장용기의 재질은 폴리에틸렌과 폴리프로필렌 소재로 가열과정에서 환경호르몬을 배출하지 않는 안전한 재질로 알려져 있습니다 ,포장
15890,택배용 박스 말고 겉박스 따로 없나요 ,포장
15891,선물박스 출시 후 추가 상품으로 올리도록 하겠습니다 ,포장
15892,아이스팩 넣어서 오나요 ,포장
15893,당일 산란한 유정란을 택배 발송하며 신선식품으로 구분하여 익일배송이므로 아이스팩은 넣지 않고 있습니다 ,포장
15894,질기면 못 먹으니 금방 제조된 거로 녹지 않게 파손 안 되게 포장해서 보내주세요 녹아서 오면 반품 가능한 거죠 ,포장
15895,무조건 녹았다고 반품이 되는 건 아닙니다   정상적으로 익일 도착 안 될 시 반품 가능합니다 ,포장
15896,추석 선물용인데 0      2번 6개나 주문했는데 왜 포장지를 안주시나요 ,포장
15897,죄송하지만 저희는 쇼핑백이 따로 준비되어 있지 않습니다 ,포장
15898,선물할 건데 종이가방같이 주시나요 ,포장
15899,종이박스에 넣어서 보내드립니다   끈 손잡이도 되있으니 참고 바랍니다 ,포장
15900,주문했는데 선물할 꺼라찌 드러지지 않게 보내주세요 종이 백주나요 ,포장
15901,최근 제조한 제품으로 잘 포장해서 발송하겠습니다 죄송하지만 쇼핑백은 별도로 증정되지 않습니다 ,포장
15902,3 키로시킬 껀데 3키로 시킬 껀데 3키로 덩어리째 진공포장 가능한가요 ,포장
15903,주문 시 배송 메모란에 적어 주세요 ,포장
15904,4개 사려고 하는데 아이스팩 몇 개 주문해야 되나요 ,포장
15905,상세 페이지에도 기재되어 있듯이 기본 아이스팩 2개가 같이 동봉되어 발송이 되요 ,포장
15906,안에 막걸리들은 다 뒤엉켜서널부러져 있었고 아이스팩은 다 녹아서 따뜻하더군요 그런 상태인데 운송장은 멀쩡할까요 ,포장
15907,어제 CJ대한통운을 통해 교환 발송을 해드렸는데 현재 배송되고 있는 중으로 검색되고 있습니다 ,포장
15908,제가 좀 이해가 안 가는 부분이 있어 문의 남기는데요청국장을 냉동 보관하라는 안내문구가 적힌 상품을 달랑 아이 손바닥만한 작은 아이스팩 하나에 보내는 게 이해가 안 가네요 ,포장
15909,한꺼번에 많은 양의 청국장을 드실 수 없기에 소포장하여 냉도 상태로 발송되어지며 냉동 보관을 추천 드립니다 ,포장
15910,대 1개소 2개소 케이스 2개 주문했는데 쇼핑백도 주시나요 ,포장
15911,구매하신 케이스만 있고 이 상품 자체 쇼핑백은 없습니다 ,포장
15912,선물할려고 주문했는데  선물용 상자 포장이 안 되어 오면 어떡하라는 건가요 ,포장
15913,저희 배송팀에서 누락이 있었나 봅니다 ,포장
15914,한 3KG 정도 시킬 생각인데 냉매를 몇 개 정도 넣어야 할까요 ,포장
15915,2개 정도 추가 하시면 충분하실 것 같습니다 ,포장
15916,보자기 포장으로요청 드렸는데 종이 백은 따로 안주시나요 ,포장
15917,쇼핑백도 보자기와 동일하게 옵션에 보시면 별도로 추가하시면 되세요 수요일 이전에 받아보실 수 있게 잘 포장하여 보내드리겠습니다 ,포장
15918,포장은 박스가 아닌 비닐 포장되어 왔어요 항상 박스에 이중 포장되어 왔는데 이번에 왜 이런 가요 ,포장
15919,트레비 상품 같은 경우 매입단가가 오르다보니 고객님들께 좀 더 저렴하게 판매할 수 있는 방법을 찾다보니 포장방법을 변경하게 되었습니다 ,포장
15920,250짜리 2개사면 똑같이 나무스푼에 박스 포장해서 선물용으로 보내주실 수 있나요 ,포장
15921,선물용 포장박스는 150G 2개 전용으로 제작되어서 사이즈가 달라 불가능합니다 ,포장
