,utterance,category
15672,영수증이 필요해서 그런데요혹시 구매하고요청 드리면 제품 배송 시 영수증동봉해주실 수 있나요 ,결제
15673,택배와 함께 별도로 제공해 드리는 영수증은 없습니다   영수증은 주문 내역에서 출력하실 수 있습니다 ,결제
15674,혹식 따로 영수증 첨부 가능할까요 ,결제
15675,간이 영수증 동봉하여 출고도와 드리겠습니다   오늘도 즐거운 하루 되세요 ,결제
15676,현금영수증 발급 1건으로 묶어서 발급해주시면 안 되나요 ,결제
15677,당사에서 따로 결제금액에 따라 쓰는 것으로요청하신 대로는 힘드십니다 ,결제
15678,영수증이 필요한데 같이 첨부해서 보내주실 수 있나요 ,결제
15679,네 간이영수증 동봉하여 출고도와 드리겠습니다   오늘도 즐거운 하루 되세요 ,결제
15680,죄송한데 저화요일에 배송 보내주실 때 영수증 같이 보내주실 수잇으신가요 ,결제
15681,네 맞습니다 ,결제
47173,사장님 한 박스 단위로 좀 저렴하게는 구매할 수 없나요 ,결제
47174,추후 박스 단위 상품도 업데이트 예정입니다 ,결제
47175,편육  2개와 막창  함께 주문하려고 보니 쿠폰 적용이 안 되네요 ,결제
47176,쿠폰은 전체 금액 기준이 아닌 한 가지 상품금액 기준으로 할인이 적용됩니다 ,결제
59743,영수증 안 넣어주시는 거죠 ,결제
59744,영수증 안 넣어 보내요 ,결제
67357,2키로는 대서 마늘 부탁드려도 될까요 ,결제
67358,문의하신 데로 남도 마늘 6KG 와 대서 마늘 2KG 로 발송하겠습니다   무더운 날씨에 건강조심하시고 오늘도 즐거운 하루 되세요 ,결제
67359,낼 꼭 받게요계량 컵주문 추가가 안 되서 주문 못했어요 한 개 넣어 주심 안 되나요 ,결제
67360,금 일출고 예정이구요 보통 다음날에 받으시는데요 지역 우체국에 따라 날씨에 따라 1      2일 정도 지연될 수 있으니 양해 부탁드립니다 ,결제
67361,양념장 여분  넉넉하게 부탁드려요 안 된다면 추가로 구매라도 하구 싶어요,결제
67362,확인 후 여분 양념장 챙겨드리도록 하겠습니다 여 분양념장은 기존 양념장보다 3    1 크기입니다 ,결제
67363,사장님 어제 막창 2개 불막창 2개해서 4개 시켰는데 실수로 막장을 못 시켰어요 막장 2개 추가하고 싶은데 현금계좌이체 등으로 방법이 없을까요 ,결제
67364,현재 주문이 폭주하여 주문 완료 기준 주문시간에 따른 송장 출력 및 출고를 하고 있다보니 추가로 주문을 하시게 되면 주문시간대가 맞질 않아 묶음배송이 어렵습니다 ,결제
67557,혹시나 싶어서 글 올립니 다 어제 저녁 주문했는데 벌써 배송했더라 구영근 데 다시 재결재하구 싶어 소용오늘 더 할인되서 요 구렇게 안 될까요 ,결제
67558,택배차에 상차가 되어서 취소가 어렵습니다 ,결제
67559,다시 주문하려는 데 어제 주문건 취소 가능할까요 ,결제
67560,오전 출고되었습니다 ,결제
67561,오늘 갈비탕 또 주문했는데 같이 보내주시면 안 될까요 ,결제
67562,주문 확인 결과 기간 차이가 나서 합배송 처리 어려울 것 같아요 ,결제
67563,전장김을 도라지 김자반으로 바꿔 보내주실 수 있을까요 ,결제
67564,현재 도라지 김자반은 품절되어 제품이 없습니다 ,결제
67565,지금 즉시 할인을 하고 있어서 취소하고 재결제하고 싶은데 취소가 안 되나요 ,결제
67566,재결제하면 무료 배송을 위해서라도 조금 더 구매할 예정인데 취소 안 되나요 ,결제
71615,4개를 구매해서 사은품을 쓰려고 햇는데 쓰고 나니 구매 여부에 비구매로 뜨네요 주문이 안 된 건가요 ,결제
71616,정상적으로 주문 확인됩니다   좋은 제품으로 발송할 게요 ,결제
71617,결제하려는데 금액이 갑자기 바뀌었어요   맞나요 ,결제
71618,해당 행사는 금일 오후 12시까지 진행되었습니다 ,결제
221494,7일에 구매한 게 아직도 상품 준비 중이고 운송장 번호도 없고 환불도 못하게 막아두시면 어쩌자는 건가요 ,결제
221495,현재 순차 출고 중으로 연이은 연휴와 수확량의 부족으로 배송 일정이 조금 지연되고 있어요 ,결제
221496,구매 취소하고 싶은데 어떻게 해야 하나요 ,결제
221497,회원님의 주문건이 미 출고가 완료되어 취소가 불가한 점 양해 부탁드려요 ,결제
221498,취소했는데 취수 거부해 놓고 아직도 배송 안 되고 있는데 이럴 거면 취소 거부왜합니까 ,결제
221499,회수 신청해 드릴 테니 기사님께 전달 부탁드리며 드실 예정이면 반품요청 철회 부탁드립니다 ,결제
221500,고구마 2200원에 결제된 거 같은데요 지금 취소하고 다시 결제해도 되나요 ,결제
221501,네 그럼 취소요청주시면 확인 후 승인해드리겠습니다 ,결제
221502,취소 안 했는데 왜 자동으로 취소되나요 ,결제
221503,확인해볼게요 ,결제
221504,운송장만 출력된 상태라는 데 다른 옵션으로 구매하고 싶어요 혹시 취소할 수 있을 가요 ,결제
